trade_order_id,smc_zone_candle_no,previous_candle_no_from_which_smc_zones_are_fetched,trade_entry_candle_no,trade_entry_price,smc_zone_open_price,smc_zone_close_price,trade_status,expected_stop_loss,expected_target,current_candle_no,current_candle_close_price,trade_exit_type,trade_exit_candle_no,trade_exit_price,trade_p_l,target_1_price,target_2_price,target_3_price,target_4_price,target_1_hit_flag,target_2_hit_flag,target_3_hit_flag,target_4_hit_flag,max_target_reached_till_now,trade_iteration_price_delta
1,1457.0,1459,1460,49732.25,49718.5,49739.75,Exited,-21.25,42.5,,,Stop Loss,1465,49712.25,-20.0,20,40,80,120,0,0,0,0,,-30.05078125
2,1477.0,1478,1479,49701.3515625,49696.6484375,49730.6484375,Exited,-34.0,68.0,,,Target Hit,1489,49723.69921875,22.34765625,20,40,80,120,1,1,0,0,40,22.34765625
3,1511.0,1512,1513,50187.30078125,50181.1015625,50201.1484375,Exited,-20.046875,40.09375,,,Stop Loss,1514,50167.30078125,-20.0,20,40,80,120,0,0,0,0,,-14.55078125
4,1705.0,1708,1709,50353.1484375,50336.3984375,50356.19921875,Exited,-19.80078125,39.6015625,,,Target Hit,1723,50408.25,55.1015625,20,40,80,120,1,1,1,0,80,55.1015625
5,1726.0,1727,1728,50393.0,50386.05078125,50401.6484375,Exited,-15.59765625,31.1953125,,,Stop Loss,1729,50373.0,-20.0,20,40,80,120,0,0,0,0,,-9.19921875
6,1746.0,1747,1748,50390.5,50361.0,50393.1015625,Exited,-32.1015625,64.203125,,,Target Hit,1808,50489.6484375,99.1484375,20,40,80,120,1,1,1,1,120,99.1484375
7,1794.0,1795,1796,50564.8984375,50542.55078125,50566.55078125,Exited,-24.0,48.0,,,Stop Loss,1797,50544.8984375,-20.0,20,40,80,120,0,0,0,0,,-23.6484375
8,1798.0,1801,1802,50541.80078125,50518.69921875,50545.8515625,Exited,-27.15234375,54.3046875,,,Stop Loss,1807,50521.80078125,-20.0,20,40,80,120,0,0,0,0,,-44.3515625
9,1853.0,1854,1855,50525.75,50514.75,50533.55078125,Exited,-18.80078125,37.6015625,,,Stop Loss,1856,50505.75,-20.0,20,40,80,120,0,0,0,0,,-19.30078125
