,Stock_name,P/L,WL_ratio,Avg_win,Avg_loss
0,CIPLA,43.7501220703125,2.0,8.36669921875,-2.1500244140625
1,BAJFINANCE,68.60009765625,0.375,65.18343098958333,-15.8687744140625
2,TATACONSUM,-10.0008544921875,0.3333333333333333,6.8997344970703125,-3.1333160400390625
3,SHRIRAMFIN,-294.449951171875,0.5,26.6875,-50.149993896484375
4,TITAN,-11.449951171875,0.75,15.4666748046875,-13.03125
5,WIPRO,68.89971923828125,0.9230769230769231,7.4249827067057295,-1.5538517878605769
6,RELIANCE,-3.9996337890625,0.5555555555555556,4.830029296875,-3.1277533637152777
7,TATASTEEL,4.9999542236328125,2.0,1.1324939727783203,-1.0149993896484375
8,ITC,1.79998779296875,0.25,2.699981689453125,-0.4499969482421875
9,HINDALCO,52.94952392578125,1.4,9.714215959821429,-3.00999755859375
