,Stock_name,P/L,WL_ratio,Avg_win,Avg_loss
0,NSEBANK,1274.7265625,0.7,380.7689732142857,-139.065625
1,CIPLA,86.3001708984375,1.8,13.238905164930555,-6.5699951171875
2,BAJFINANCE,1.75,0.5555555555555556,66.25009765625,-36.611165364583336
3,TATACONSUM,33.35302734375,9.0,3.9392225477430554,-2.0999755859375
4,SHRIRAMFIN,-140.05029296875,0.25,36.6749267578125,-26.675018310546875
5,TITAN,-0.449951171875,1.0,13.270068359375,-13.36005859375
6,WIPRO,56.04937744140625,2.3333333333333335,9.3284912109375,-3.0833536783854165
7,RELIANCE,-32.5,0.25,6.5999755859375,-5.712493896484375
8,TATASTEEL,1.31988525390625,1.2857142857142858,0.7599877251519097,-0.7885720389229911
9,ITC,-9.7999267578125,0.5,1.5166829427083333,-2.39166259765625
10,HINDALCO,16.500732421875,1.0,10.583577473958334,-5.083333333333333
