,Stock_name,P/L,WL_ratio,Avg_win,Avg_loss
0,CIPLA,51.39990234375,2.0,7.75,-5.22001953125
1,BAJFINANCE,-51.94580078125,0.4666666666666667,41.63623046875,-22.893294270833334
2,TATACONSUM,11.598876953125,0.6,7.866465250651042,-3.559991455078125
3,SHRIRAMFIN,-276.998779296875,0.5714285714285714,23.706329345703125,-33.332101004464285
4,TITAN,40.750732421875,1.0909090909090908,14.208353678385416,-11.79541015625
5,WIPRO,43.0997314453125,0.5789473684210527,6.463617498224432,-1.4736874229029606
6,RELIANCE,19.02587890625,0.8571428571428571,4.800048828125,-2.755336216517857
7,TATASTEEL,3.61993408203125,1.0,1.02999267578125,-0.667999267578125
8,ITC,-1.60003662109375,0.45454545454545453,2.3099853515625,-1.1954512162642046
9,HINDALCO,54.4000244140625,1.3,6.515385554387019,-3.029998779296875
