,Stock_name,P/L,WL_ratio,Avg_win,Avg_loss
0,NSEBANK,1488.9921875,2.0,267.48984375,-237.18125
1,CIPLA,19.35009765625,2.25,6.205579969618055,-9.125030517578125
2,BAJFINANCE,-243.849609375,0.125,0.0,-30.481201171875
3,TATACONSUM,-0.7999267578125,0.5,5.350006103515625,-2.774993896484375
4,SHRIRAMFIN,-101.250244140625,0.25,12.599853515625,-28.4625244140625
5,TITAN,-31.349853515625,0.6,18.1500244140625,-14.025
6,WIPRO,76.1497802734375,2.142857142857143,6.5533203125,-3.1642892020089284
7,RELIANCE,-40.52490234375,0.5454545454545454,6.341654459635417,-7.1431662819602275
8,TATASTEEL,14.029891967773438,2.1666666666666665,1.4915313720703125,-0.8933359781901041
9,ITC,-9.750091552734375,0.42857142857142855,2.9166361490885415,-2.642857142857143
10,HINDALCO,43.1993408203125,2.3333333333333335,9.757045200892858,-8.366658528645834
