,candle_no,entry,entry_date,sl,target_price,sl_size,P/L,trade_status
0,25,155.6699981689453,2024-10-16 09:15:00+00:00,155.8699951171875,156.0699920654297,0.1999969482421875,0.1999969482421875,Closed
1,47,155.5800018310547,2024-10-16 14:45:00+00:00,155.38999938964844,155.77000427246094,0.19000244140625,-0.19000244140625,Closed
2,90,155.66000366210938,2024-10-18 13:00:00+00:00,155.25,156.07000732421875,0.410003662109375,-0.410003662109375,Closed
3,209,145.8800048828125,2024-10-25 11:30:00+00:00,145.75999450683594,146.00001525878906,0.1200103759765625,-0.1200103759765625,Closed
4,232,148.61000061035156,2024-10-28 11:00:00+00:00,147.39999389648438,149.82000732421875,1.2100067138671875,-1.2100067138671875,Closed
5,239,148.6199951171875,2024-10-28 12:45:00+00:00,149.27999877929688,149.5,0.220001220703125,0.660003662109375,Closed
6,244,149.22999572753906,2024-10-28 14:00:00+00:00,149.49998474121094,149.7699737548828,0.269989013671875,0.269989013671875,Closed
7,286,149.9499969482422,2024-10-30 12:00:00+00:00,149.8800048828125,150.01998901367188,0.0699920654296875,-0.0699920654296875,Closed
8,300,148.8699951171875,2024-10-31 09:15:00+00:00,148.19000244140625,149.54998779296875,0.67999267578125,-0.67999267578125,Closed
9,323,148.72000122070312,2024-10-31 15:00:00+00:00,148.57000732421875,148.8699951171875,0.149993896484375,-0.149993896484375,Closed
10,325,147.9499969482422,2024-11-04 09:15:00+00:00,147.1300048828125,148.76998901367188,0.8199920654296875,-0.8199920654296875,Closed
11,337,146.1300048828125,2024-11-04 12:15:00+00:00,146.260009765625,146.3900146484375,0.1300048828125,0.1300048828125,Closed
12,352,150.3699951171875,2024-11-05 09:45:00+00:00,153.63998413085938,156.90997314453125,3.269989013671875,3.269989013671875,Closed
13,365,150.6999969482422,2024-11-05 13:00:00+00:00,152.1999969482422,152.4499969482422,0.25,1.5,Closed
14,387,151.5,2024-11-06 12:15:00+00:00,153.49996948242188,153.89996337890625,0.399993896484375,1.999969482421875,Closed
15,392,152.88999938964844,2024-11-06 13:30:00+00:00,153.4499969482422,154.00999450683594,0.55999755859375,0.55999755859375,Closed
16,403,156.3699951171875,2024-11-07 10:00:00+00:00,154.0,158.739990234375,2.3699951171875,-2.3699951171875,Closed
17,416,150.97999572753906,2024-11-07 13:15:00+00:00,151.1599884033203,151.33998107910156,0.17999267578125,0.17999267578125,Closed
18,473,145.0399932861328,2024-11-11 15:00:00+00:00,146.56997680664062,146.73997497558594,0.1699981689453125,1.5299835205078125,Closed
19,477,146.1300048828125,2024-11-12 09:45:00+00:00,145.47000122070312,146.79000854492188,0.660003662109375,-0.660003662109375,Closed
