imb_open,imb_close,del_imb,Open,High,Low,Close,ser_no,imb_high,imb_low
0,0,1,51869.1484375,51874.75,51609.75,51830.44921875,0.0,51874.75,51609.75
0,0,1,51826.3984375,51921.6484375,51770.1015625,51819.30078125,1.0,51921.6484375,51770.1015625
0,0,1,51822.1015625,52004.1484375,51720.80078125,51794.8984375,2.0,52004.1484375,51720.80078125
0,0,1,51801.5,51862.1484375,51719.8984375,51826.44921875,3.0,51862.1484375,51719.8984375
0,0,1,51825.3515625,51853.19921875,51769.05078125,51771.69921875,4.0,51853.19921875,51769.05078125
0,0,1,51773.0,51790.44921875,51653.30078125,51657.94921875,5.0,51790.44921875,51653.30078125
0,0,1,51661.3984375,51666.3515625,51560.0,51645.55078125,6.0,51666.3515625,51560.0
0,0,1,51644.69921875,51680.75,51592.30078125,51669.44921875,7.0,51680.75,51592.30078125
0,0,1,51668.6015625,51683.25,51616.0,51630.3515625,8.0,51683.25,51616.0
0,0,1,51628.80078125,51681.80078125,51616.5,51672.0,9.0,51681.80078125,51616.5
0,0,1,51671.6484375,51671.6484375,51510.6484375,51527.1484375,10.0,51671.6484375,51510.6484375
0,0,1,51518.1484375,51567.19921875,51495.3984375,51550.80078125,11.0,51567.19921875,51495.3984375
0,0,1,51550.0,51620.05078125,51542.94921875,51594.0,12.0,51620.05078125,51542.94921875
0,0,1,51594.75,51689.6484375,51583.55078125,51653.05078125,13.0,51689.6484375,51583.55078125
0,0,1,51657.0,51665.30078125,51596.0,51656.5,14.0,51665.30078125,51596.0
0,0,1,51656.3515625,51730.3984375,51620.3515625,51724.1015625,15.0,51730.3984375,51620.3515625
0,0,1,51725.80078125,51862.1484375,51690.6484375,51803.30078125,16.0,51862.1484375,51690.6484375
0,0,1,51802.75,51852.6015625,51751.0,51793.5,17.0,51852.6015625,51751.0
0,0,1,51795.8515625,51824.6015625,51657.3515625,51715.6015625,18.0,51824.6015625,51657.3515625
0,0,1,51710.8984375,51747.6015625,51606.80078125,51631.3515625,19.0,51747.6015625,51606.80078125
0,0,1,51630.6484375,51639.19921875,51532.44921875,51576.1015625,20.0,51639.19921875,51532.44921875
0,0,1,51576.44921875,51673.75,51505.0,51644.05078125,21.0,51673.75,51505.0
0,0,1,51644.6015625,51665.6015625,51583.75,51644.5,22.0,51665.6015625,51583.75
0,0,1,51644.6015625,51652.75,51523.80078125,51550.05078125,23.0,51652.75,51523.80078125
0,0,1,51550.69921875,51586.3515625,51501.80078125,51532.1484375,24.0,51586.3515625,51501.80078125
0,0,1,51559.5,51564.94921875,51295.1484375,51461.44921875,25.0,51564.94921875,51295.1484375
