data_for_id,imb_open,imb_close,imb_diff,Open,High,Low,Close,ser_no
51,3456.050048828125,3449.0,-7.050048828125,3472.050048828125,3479.39990234375,3456.050048828125,3469.0,50.0
99,3405.10009765625,3399.75,-5.35009765625,3407.949951171875,3422.35009765625,3405.10009765625,3413.050048828125,91.0
99,3405.10009765625,3399.75,-5.35009765625,3407.949951171875,3422.35009765625,3405.10009765625,3413.050048828125,91.0
99,3405.10009765625,3399.75,-5.35009765625,3407.949951171875,3422.35009765625,3405.10009765625,3413.050048828125,91.0
99,3405.10009765625,3399.75,-5.35009765625,3407.949951171875,3422.35009765625,3405.10009765625,3413.050048828125,91.0
99,3405.10009765625,3399.75,-5.35009765625,3407.949951171875,3422.35009765625,3405.10009765625,3413.050048828125,91.0
99,3405.10009765625,3399.75,-5.35009765625,3407.949951171875,3422.35009765625,3405.10009765625,3413.050048828125,91.0
99,3405.10009765625,3399.75,-5.35009765625,3407.949951171875,3422.35009765625,3405.10009765625,3413.050048828125,91.0
99,3405.10009765625,3399.75,-5.35009765625,3407.949951171875,3422.35009765625,3405.10009765625,3413.050048828125,91.0
100,3375.10009765625,3372.550048828125,-2.550048828125,3377.10009765625,3399.0,3375.10009765625,3381.449951171875,99.0
101,3370.0,3362.0,-8.0,3406.699951171875,3414.050048828125,3370.0,3372.550048828125,100.0
115,3368.10009765625,3362.550048828125,-5.550048828125,3391.199951171875,3392.10009765625,3368.10009765625,3372.10009765625,109.0
115,3368.10009765625,3362.550048828125,-5.550048828125,3391.199951171875,3392.10009765625,3368.10009765625,3372.10009765625,109.0
115,3368.10009765625,3362.550048828125,-5.550048828125,3391.199951171875,3392.10009765625,3368.10009765625,3372.10009765625,109.0
115,3368.10009765625,3362.550048828125,-5.550048828125,3391.199951171875,3392.10009765625,3368.10009765625,3372.10009765625,109.0
115,3368.10009765625,3362.550048828125,-5.550048828125,3391.199951171875,3392.10009765625,3368.10009765625,3372.10009765625,109.0
115,3368.10009765625,3362.550048828125,-5.550048828125,3391.199951171875,3392.10009765625,3368.10009765625,3372.10009765625,109.0
120,3368.0,3365.449951171875,-2.550048828125,3379.39990234375,3386.0,3368.0,3369.39990234375,119.0
126,3366.64990234375,3363.949951171875,-2.699951171875,3366.64990234375,3421.0,3366.64990234375,3402.0,125.0
147,3329.050048828125,3328.5,-0.550048828125,3331.0,3334.85009765625,3329.050048828125,3333.25,146.0
161,3316.10009765625,3315.550048828125,-0.550048828125,3316.10009765625,3328.0,3316.10009765625,3326.800048828125,160.0
162,3314.0,3313.5,-0.5,3325.699951171875,3327.300048828125,3314.0,3315.550048828125,161.0
165,3321.85009765625,3321.800048828125,-0.050048828125,3324.0,3331.0,3321.85009765625,3325.800048828125,164.0
166,3320.300048828125,3318.199951171875,-2.10009765625,3326.0,3332.0,3320.300048828125,3321.800048828125,165.0
226,3261.75,3259.300048828125,-2.449951171875,3283.699951171875,3286.14990234375,3261.75,3266.449951171875,225.0
231,3298.5,3298.10009765625,-0.39990234375,3310.5,3315.0,3298.5,3306.89990234375,230.0
248,3292.10009765625,3285.25,-6.85009765625,3297.60009765625,3299.199951171875,3292.10009765625,3297.75,247.0
268,3262.5,3259.89990234375,-2.60009765625,3263.300048828125,3268.39990234375,3262.5,3264.5,265.0
268,3262.5,3259.89990234375,-2.60009765625,3263.300048828125,3268.39990234375,3262.5,3264.5,265.0
268,3262.5,3259.89990234375,-2.60009765625,3263.300048828125,3268.39990234375,3262.5,3264.5,265.0
275,3272.800048828125,3262.699951171875,-10.10009765625,3285.35009765625,3289.89990234375,3281.10009765625,3289.0,274.0
291,3308.14990234375,3306.89990234375,-1.25,3312.75,3321.60009765625,3308.14990234375,3310.949951171875,290.0
292,3301.050048828125,3295.0,-6.050048828125,3311.050048828125,3311.10009765625,3301.050048828125,3306.89990234375,291.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
322,3262.39990234375,3261.449951171875,-0.949951171875,3263.39990234375,3270.85009765625,3262.39990234375,3269.800048828125,321.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
337,3224.300048828125,3214.050048828125,-10.25,3224.35009765625,3237.0,3224.300048828125,3228.10009765625,336.0
549,3290.0,3287.5,-2.5,3312.0,3313.25,3290.0,3306.949951171875,299.0
351,3257.0,3252.949951171875,-4.050048828125,3268.5,3278.0,3257.0,3267.050048828125,324.0
