Open,High,Low,Close,ser_no
51869.1484375,51874.75,51609.75,51830.44921875,0
51826.3984375,51921.6484375,51770.1015625,51819.30078125,1
51822.1015625,52004.1484375,51720.80078125,51794.8984375,2
51801.5,51862.1484375,51719.8984375,51826.44921875,3
51644.69921875,51680.75,51592.30078125,51669.44921875,7
51668.6015625,51683.25,51616.0,51630.3515625,8
51671.6484375,51671.6484375,51510.6484375,51527.1484375,10
51594.75,51689.6484375,51583.55078125,51653.05078125,13
51725.80078125,51862.1484375,51690.6484375,51803.30078125,16
51576.44921875,51673.75,51505.0,51644.05078125,21
51644.6015625,51652.75,51523.80078125,51550.05078125,23
51559.5,51564.94921875,51295.1484375,51461.44921875,25
51463.8515625,51624.5,51404.0,51520.3984375,26
51522.1015625,51673.30078125,51502.6015625,51624.0,27
52103.1484375,52170.3515625,52060.8984375,52138.19921875,33
52137.6484375,52176.8984375,52103.44921875,52169.69921875,34
52091.55078125,52109.5,51963.5,52019.0,37
52021.05078125,52098.3984375,52021.05078125,52040.1484375,38
52040.80078125,52069.55078125,52003.3984375,52029.0,39
51958.0,52003.55078125,51854.0,51863.5,42
51910.55078125,51912.30078125,51831.69921875,51832.94921875,44
51846.3984375,51939.69921875,51812.5,51913.6015625,46
51878.5,51965.1015625,51767.75,51940.80078125,48
51945.75,51958.55078125,51799.25,51812.3515625,49
51843.80078125,52168.25,51798.25,52129.55078125,52
52135.75,52146.55078125,51856.80078125,51964.25,53
51966.6015625,52008.05078125,51917.69921875,51936.44921875,54
51937.25,51946.6015625,51675.8984375,51704.25,55
51773.19921875,51864.5,51741.80078125,51832.55078125,58
51832.1484375,51858.3984375,51797.75,51818.6484375,59
51817.69921875,51874.69921875,51772.25,51800.1484375,60
51800.1484375,51825.44921875,51686.69921875,51725.3515625,61
51724.44921875,51765.1015625,51652.19921875,51712.0,62
51469.94921875,51487.05078125,51235.6484375,51300.75,64
51292.1484375,51298.05078125,51127.3515625,51253.69921875,66
51254.1484375,51289.6484375,51141.25,51179.5,67
51178.30078125,51364.25,51162.05078125,51218.69921875,68
51226.44921875,51276.6015625,51013.6015625,51061.1015625,70
51063.05078125,51337.1484375,51047.3984375,51163.0,71
51206.05078125,51248.80078125,51082.1484375,51100.75,73
51103.25,51205.0,51100.8984375,51121.30078125,74
51044.69921875,51289.1015625,51001.8515625,51190.94921875,75
51209.3515625,51352.75,51139.19921875,51185.44921875,76
51208.75,51215.25,50867.0,50895.6015625,78
50959.3984375,51047.8984375,50752.44921875,50760.75,80
50705.05078125,50746.3984375,50620.8515625,50700.6484375,83
50700.75,50742.05078125,50644.55078125,50651.6015625,84
50653.8984375,50734.1484375,50649.0,50689.8515625,85
50692.75,50737.75,50626.8515625,50665.8515625,86
50665.94921875,50770.3984375,50648.1484375,50707.55078125,87
50706.8984375,50731.25,50655.5,50659.6484375,88
50688.80078125,50716.75,50643.25,50697.6484375,90
50673.44921875,50787.69921875,50662.3984375,50783.1484375,92
50785.1484375,50853.6015625,50723.05078125,50772.55078125,93
50115.3515625,50192.3515625,50006.3984375,50054.75,97
50070.55078125,50340.1484375,50070.55078125,50290.5,99
50066.0,50411.19921875,50066.0,50293.44921875,100
50292.80078125,50436.55078125,50179.75,50330.3515625,101
50372.8984375,50559.55078125,50370.75,50471.5,103
50465.25,50544.5,50442.44921875,50480.25,104
50137.30078125,50163.6484375,49971.0,50002.94921875,107
50193.30078125,50364.94921875,50187.94921875,50353.75,111
50354.80078125,50357.1484375,50208.5,50255.8515625,112
50225.3984375,50357.69921875,50206.25,50275.80078125,114
50271.05078125,50313.0,50214.0,50306.0,115
50286.19921875,50293.6484375,50148.0,50169.6015625,117
50173.05078125,50248.3515625,50145.44921875,50219.8515625,118
50214.55078125,50219.8984375,50121.5,50164.3984375,120
50163.69921875,50189.6484375,50106.44921875,50132.6015625,121
50129.3984375,50185.1484375,50110.69921875,50172.75,122
50174.19921875,50245.75,50078.3515625,50184.3984375,123
50187.94921875,50244.5,50172.25,50239.19921875,124
