Open,High,Low,Close,ser_no
6927.0,6949.9501953125,6905.0,6906.89990234375,51
6928.0,6938.2001953125,6915.0,6934.0,53
6937.2001953125,6970.0,6937.2001953125,6963.0,55
6940.60009765625,6947.14990234375,6911.0,6918.2998046875,57
6919.25,6924.60009765625,6905.5,6913.7001953125,58
6913.7001953125,6926.0,6910.0,6912.9501953125,59
6898.35009765625,6923.0,6896.5498046875,6923.0,62
6921.60009765625,6927.85009765625,6915.0,6920.0,63
6901.89990234375,6910.2998046875,6890.0,6891.89990234375,66
6873.85009765625,6896.7998046875,6872.0,6896.7998046875,70
6895.0,6898.7998046875,6875.0,6885.89990234375,71
6890.35009765625,6920.64990234375,6883.25,6920.64990234375,73
6889.85009765625,6892.2998046875,6825.0,6826.0,75
6825.0,6886.5,6821.2998046875,6872.2001953125,76
6870.5,6900.0,6846.2998046875,6863.0498046875,77
6903.39990234375,6915.60009765625,6871.60009765625,6880.7998046875,81
6880.64990234375,6899.10009765625,6879.75,6881.4501953125,82
6911.4501953125,6929.0,6909.60009765625,6924.9501953125,85
6923.7998046875,6934.7998046875,6907.4501953125,6915.4501953125,86
6931.9501953125,6933.0,6902.4501953125,6908.89990234375,88
6913.0,6915.9501953125,6891.0,6893.5,90
6903.35009765625,6917.2001953125,6901.10009765625,6913.0,92
6913.7998046875,6924.7998046875,6901.0,6912.75,93
6912.7001953125,6917.2998046875,6902.0498046875,6906.0498046875,94
6905.39990234375,6913.7001953125,6887.0,6894.0498046875,96
6893.0,6901.9501953125,6887.25,6892.64990234375,97
6891.89990234375,6904.5498046875,6887.60009765625,6892.7001953125,98
6892.5,6919.64990234375,6889.0,6899.5498046875,99
6847.25,6847.25,6795.0498046875,6816.7001953125,102
6813.0498046875,6850.0,6810.0,6818.75,103
6778.5,6780.0,6742.0,6744.0,108
6742.7001953125,6755.7001953125,6717.9501953125,6750.0,109
6734.89990234375,6760.0,6731.5498046875,6758.7001953125,112
6760.0,6761.85009765625,6738.7001953125,6749.10009765625,113
6749.7998046875,6751.0,6730.7998046875,6739.5498046875,114
6736.4501953125,6751.64990234375,6730.25,6745.89990234375,115
6746.0498046875,6754.0,6720.60009765625,6740.0,116
6738.0,6773.64990234375,6729.89990234375,6770.7001953125,118
6760.0,6793.0,6759.75,6788.0,120
6788.89990234375,6801.5498046875,6772.14990234375,6786.35009765625,121
6785.0,6799.0,6772.5498046875,6790.0,122
6761.25,6807.10009765625,6733.2998046875,6800.0498046875,125
6800.0,6831.0,6769.64990234375,6794.85009765625,126
6794.2001953125,6809.7001953125,6768.9501953125,6792.2001953125,127
6740.2998046875,6829.0,6740.2998046875,6806.0498046875,130
6809.0,6814.9501953125,6792.4501953125,6803.0,131
6759.25,6789.0498046875,6725.0,6725.0,134
6707.14990234375,6736.85009765625,6702.0498046875,6730.89990234375,135
6730.10009765625,6769.89990234375,6715.2001953125,6752.85009765625,137
6753.2998046875,6753.7998046875,6712.25,6744.2001953125,138
6742.4501953125,6765.0,6733.10009765625,6753.60009765625,139
6753.64990234375,6763.64990234375,6739.7998046875,6760.4501953125,140
6760.39990234375,6768.64990234375,6741.35009765625,6754.0,141
6753.60009765625,6768.7001953125,6743.10009765625,6747.5498046875,142
6747.2998046875,6757.60009765625,6740.2001953125,6751.4501953125,143
6751.7001953125,6767.0,6740.0,6752.2998046875,144
6752.10009765625,6762.5498046875,6737.0,6754.75,145
6631.85009765625,6958.0,6631.14990234375,6895.0,150
6904.85009765625,7018.7998046875,6901.89990234375,6986.14990234375,152
6987.0,7027.39990234375,6987.0,7007.7001953125,153
7006.39990234375,7016.4501953125,6987.89990234375,7010.0,154
7010.0,7049.89990234375,7006.60009765625,7010.5498046875,155
7024.9501953125,7075.0,7023.4501953125,7058.7998046875,157
7059.35009765625,7087.9501953125,7055.0498046875,7069.75,158
7069.7998046875,7083.7998046875,7064.7001953125,7070.0,159
7068.0,7086.4501953125,7066.75,7073.5498046875,160
7073.5498046875,7098.7998046875,7058.0,7073.9501953125,161
7073.9501953125,7073.9501953125,7038.0,7058.25,162
7057.9501953125,7073.10009765625,7051.0,7056.5,163
7059.7001953125,7069.9501953125,7052.0,7062.9501953125,165
7062.9501953125,7073.9501953125,7060.25,7067.2998046875,166
7067.0,7073.7998046875,7051.39990234375,7066.0,167
7001.39990234375,7007.2001953125,6986.0,6990.0,173
7015.0498046875,7040.0498046875,6992.7998046875,7017.9501953125,175
7000.10009765625,7106.14990234375,6997.0,7102.0,177
7103.60009765625,7119.85009765625,7082.64990234375,7085.14990234375,178
7057.35009765625,7057.7001953125,7030.0,7033.0498046875,180
7033.0498046875,7054.4501953125,7022.0,7032.35009765625,181
7031.14990234375,7042.0,7024.4501953125,7028.14990234375,183
7044.89990234375,7047.39990234375,7024.89990234375,7032.85009765625,186
7031.75,7032.7998046875,7024.89990234375,7025.0,187
7025.0498046875,7029.5,7024.75,7025.4501953125,188
7025.75,7029.85009765625,7020.0,7029.0,189
7026.9501953125,7028.14990234375,7020.0,7025.0,190
7020.7998046875,7037.35009765625,7012.0,7028.5,192
7030.0498046875,7031.85009765625,7022.5498046875,7029.4501953125,193
7029.4501953125,7035.0,7020.89990234375,7025.0,194
7029.0,7059.89990234375,7028.4501953125,7058.10009765625,196
7054.5,7064.4501953125,7030.64990234375,7038.39990234375,198
6990.5498046875,7005.5,6961.5,6969.75,202
6964.25,6991.0,6925.0,6939.4501953125,204
6996.4501953125,7059.9501953125,6992.89990234375,7022.64990234375,208
7022.7001953125,7044.0498046875,7017.0498046875,7031.14990234375,209
