liq_category,Open,High,Low,Close,ser_no
last_few_candles,155.6999969482422,156.3000030517578,155.1999969482422,155.55999755859375,50.0
last_few_candles,155.55999755859375,155.55999755859375,154.07000732421875,154.4499969482422,51.0
last_few_candles,154.4499969482422,154.4499969482422,153.80999755859375,153.97000122070312,52.0
last_few_candles,153.92999267578125,154.3000030517578,153.64999389648438,154.25,53.0
last_few_candles,154.25,154.25999450683594,153.55999755859375,154.1300048828125,54.0
last_few_candles,154.0500030517578,154.13999938964844,153.8000030517578,153.85000610351562,60.0
last_few_candles,153.85000610351562,154.10000610351562,153.77000427246094,153.85000610351562,61.0
last_few_candles,153.80999755859375,154.0500030517578,153.7100067138672,153.9600067138672,62.0
last_few_candles,153.9600067138672,154.14999389648438,153.6199951171875,153.72999572753906,63.0
last_few_candles,153.72999572753906,153.9499969482422,153.52000427246094,153.9199981689453,64.0
last_few_candles,153.91000366210938,153.97999572753906,153.35000610351562,153.47000122070312,65.0
last_few_candles,153.52000427246094,153.64999389648438,153.0,153.13999938964844,66.0
last_few_candles,153.10000610351562,153.3000030517578,153.0,153.2899932861328,67.0
last_few_candles,153.2899932861328,153.3000030517578,152.6199951171875,152.75,68.0
last_few_candles,152.6999969482422,152.89999389648438,152.25999450683594,152.2899932861328,69.0
last_few_candles,152.42999267578125,152.52999877929688,152.16000366210938,152.39999389648438,74.0
last_few_candles,152.3699951171875,152.5,151.10000610351562,151.1999969482422,75.0
last_few_candles,155.47000122070312,155.67999267578125,155.1999969482422,155.2100067138672,94.0
last_few_candles,155.22000122070312,155.75,155.10000610351562,155.75,95.0
last_few_candles,155.41000366210938,155.4199981689453,154.61000061035156,155.0500030517578,102.0
last_few_candles,154.97000122070312,155.14999389648438,154.64999389648438,154.89999389648438,112.0
last_few_candles,154.8000030517578,155.13999938964844,154.6300048828125,155.07000732421875,115.0
last_few_candles,155.19000244140625,155.2100067138672,154.75,155.00999450683594,124.0
last_few_candles,154.25,154.8699951171875,152.52000427246094,153.30999755859375,125.0
last_few_candles,153.27999877929688,153.27999877929688,152.24000549316406,153.00999450683594,126.0
last_few_candles,152.36000061035156,152.55999755859375,151.77000427246094,151.8800048828125,129.0
last_few_candles,151.92999267578125,152.13999938964844,151.47000122070312,151.61000061035156,130.0
last_few_candles,151.9199981689453,151.99000549316406,151.60000610351562,151.8699951171875,139.0
last_few_candles,151.8699951171875,151.9499969482422,151.39999389648438,151.67999267578125,140.0
last_few_candles,151.69000244140625,151.69000244140625,150.94000244140625,151.3300018310547,141.0
last_few_candles,151.38999938964844,151.5500030517578,150.86000061035156,150.8800048828125,147.0
last_few_candles,150.8800048828125,151.1999969482422,150.1199951171875,150.25,148.0
last_few_candles,150.24000549316406,150.91000366210938,150.11000061035156,150.8699951171875,149.0
last_few_candles,150.5,151.92999267578125,149.44000244140625,151.19000244140625,150.0
last_few_candles,151.11000061035156,151.27000427246094,148.05999755859375,148.36000061035156,151.0
last_few_candles,149.97000122070312,150.22999572753906,149.55999755859375,149.75,162.0
last_few_candles,149.75,149.97000122070312,149.55999755859375,149.60000610351562,163.0
last_few_candles,149.5800018310547,150.1999969482422,149.5500030517578,150.08999633789062,164.0
last_few_candles,149.89999389648438,150.0399932861328,149.5,149.6699981689453,170.0
last_few_candles,149.67999267578125,149.94000244140625,148.89999389648438,148.92999267578125,171.0
last_few_candles,148.89999389648438,149.22999572753906,148.77000427246094,149.22999572753906,172.0
last_few_candles,149.25,149.4199981689453,148.61000061035156,148.74000549316406,173.0
last_few_candles,148.72999572753906,148.77999877929688,148.50999450683594,148.69000244140625,174.0
last_few_candles,149.39999389648438,149.77999877929688,148.14999389648438,148.3699951171875,175.0
last_few_candles,148.38999938964844,148.85000610351562,148.00999450683594,148.44000244140625,176.0
last_few_candles,148.7899932861328,148.88999938964844,148.5,148.6199951171875,183.0
last_few_candles,148.6300048828125,148.9499969482422,148.5,148.8800048828125,184.0
last_few_candles,148.72000122070312,148.7899932861328,148.4600067138672,148.66000366210938,187.0
last_few_candles,148.9600067138672,149.00999450683594,148.5500030517578,148.99000549316406,195.0
last_few_candles,149.27999877929688,149.27999877929688,147.57000732421875,147.77000427246094,200.0
last_few_candles,147.60000610351562,147.6699981689453,146.3300018310547,146.4499969482422,201.0
last_few_candles,146.4600067138672,146.5,145.38999938964844,145.5,202.0
last_few_candles,145.52999877929688,146.0800018310547,145.25,145.3000030517578,205.0
last_few_candles,145.2899932861328,145.75999450683594,144.5,145.6300048828125,206.0
last_few_candles,145.7100067138672,146.10000610351562,145.3000030517578,145.60000610351562,212.0
last_few_candles,145.42999267578125,145.99000549316406,145.1699981689453,145.42999267578125,219.0
last_few_candles,145.42999267578125,145.5500030517578,144.6199951171875,144.7899932861328,220.0
last_few_candles,144.77999877929688,145.60000610351562,144.52999877929688,145.35000610351562,221.0
last_few_candles,148.6999969482422,148.8000030517578,147.89999389648438,148.00999450683594,235.0
last_few_candles,148.0500030517578,148.39999389648438,147.89999389648438,148.38999938964844,236.0
last_few_candles,149.36000061035156,149.5800018310547,148.88999938964844,149.44000244140625,248.0
