liq_category,Open,High,Low,Close,ser_no
last_few_candles,1115.300048828125,1115.300048828125,1109.8499755859375,1112.449951171875,50.0
last_few_candles,1111.75,1111.75,1108.0,1108.5999755859375,52.0
last_few_candles,1108.5,1109.3499755859375,1104.949951171875,1105.4000244140625,53.0
last_few_candles,1105.0,1106.75,1104.699951171875,1105.9000244140625,54.0
last_few_candles,1105.5,1105.5,1102.550048828125,1105.1500244140625,56.0
last_few_candles,1105.0999755859375,1105.800048828125,1102.199951171875,1102.199951171875,57.0
last_few_candles,1102.8499755859375,1103.449951171875,1101.1500244140625,1102.199951171875,58.0
last_few_candles,1101.9000244140625,1103.5,1100.9000244140625,1101.449951171875,60.0
last_few_candles,1101.8499755859375,1101.8499755859375,1097.0,1097.550048828125,61.0
last_few_candles,1097.300048828125,1099.0,1095.550048828125,1098.050048828125,62.0
last_few_candles,1097.5,1098.0,1094.0,1094.5,63.0
last_few_candles,1094.5,1097.25,1092.5999755859375,1095.699951171875,64.0
last_few_candles,1094.0999755859375,1094.3499755859375,1091.050048828125,1091.550048828125,66.0
last_few_candles,1091.9000244140625,1092.4000244140625,1087.800048828125,1088.300048828125,69.0
last_few_candles,1084.949951171875,1084.949951171875,1073.199951171875,1073.550048828125,75.0
last_few_candles,1076.0999755859375,1078.8499755859375,1075.0,1075.449951171875,82.0
last_few_candles,1075.4000244140625,1077.6500244140625,1072.050048828125,1077.6500244140625,83.0
last_few_candles,1048.8499755859375,1049.300048828125,1017.0,1025.5,100.0
last_few_candles,1025.5999755859375,1026.1500244140625,1004.5999755859375,1008.9500122070312,101.0
last_few_candles,1008.5499877929688,1008.5499877929688,992.0,1002.2000122070312,102.0
last_few_candles,996.5499877929688,997.5,986.6500244140625,988.5999755859375,105.0
last_few_candles,1016.0999755859375,1018.4000244140625,1015.0499877929688,1015.9000244140625,124.0
last_few_candles,1020.8499755859375,1020.8499755859375,1006.9000244140625,1007.9500122070312,125.0
last_few_candles,1013.0,1013.9500122070312,1004.4000244140625,1005.2999877929688,127.0
last_few_candles,1005.25,1007.8499755859375,1003.75,1004.0,129.0
last_few_candles,1003.75,1007.7000122070312,1002.2000122070312,1004.6500244140625,130.0
last_few_candles,1004.25,1005.7999877929688,1001.0,1001.25,136.0
last_few_candles,1001.4500122070312,1004.0999755859375,1000.3499755859375,1001.5499877929688,137.0
last_few_candles,1001.5499877929688,1001.9000244140625,998.0,998.7999877929688,138.0
last_few_candles,1000.0,1000.0,995.0,998.6500244140625,140.0
last_few_candles,996.9000244140625,1000.0,994.6500244140625,999.4500122070312,144.0
last_few_candles,1000.2000122070312,1000.2000122070312,995.1500244140625,998.5999755859375,151.0
last_few_candles,1012.7999877929688,1014.0,1009.25,1009.8499755859375,172.0
last_few_candles,1016.5,1016.5,1003.5,1012.25,175.0
last_few_candles,1008.5999755859375,1009.0999755859375,1001.8499755859375,1001.8499755859375,180.0
last_few_candles,1002.2999877929688,1004.8499755859375,1001.5999755859375,1004.0999755859375,181.0
last_few_candles,1005.0,1006.2999877929688,1003.4000244140625,1004.7000122070312,187.0
last_few_candles,1004.0499877929688,1005.2999877929688,999.2000122070312,1001.25,189.0
last_few_candles,1001.3499755859375,1001.4500122070312,998.8499755859375,1000.1500244140625,192.0
last_few_candles,999.9500122070312,1000.8499755859375,998.5999755859375,999.6500244140625,193.0
last_few_candles,999.25,1000.2999877929688,997.5,998.7999877929688,194.0
last_few_candles,998.9000244140625,999.7000122070312,997.5,998.4500122070312,195.0
last_few_candles,998.7999877929688,999.7999877929688,995.0999755859375,997.8499755859375,196.0
last_few_candles,999.3499755859375,999.3499755859375,995.0,995.7000122070312,198.0
last_few_candles,996.0,1003.0499877929688,992.0,1000.0999755859375,200.0
last_few_candles,994.2999877929688,994.7000122070312,991.2000122070312,992.2999877929688,203.0
last_few_candles,991.6500244140625,993.75,990.2999877929688,991.5,204.0
last_few_candles,991.5,991.75,983.7000122070312,983.7000122070312,205.0
last_few_candles,983.7000122070312,983.7000122070312,978.4000244140625,983.1500244140625,206.0
last_few_candles,978.9500122070312,979.1500244140625,975.25,978.9500122070312,209.0
last_few_candles,977.8499755859375,978.0499877929688,975.25,977.0499877929688,213.0
last_few_candles,979.5,979.5,975.0999755859375,975.5,215.0
last_few_candles,975.6500244140625,978.6500244140625,975.0,975.5499877929688,216.0
last_few_candles,978.3499755859375,978.8499755859375,974.5,975.2000122070312,218.0
last_few_candles,975.25,976.0,972.7000122070312,973.0,219.0
last_few_candles,973.0,973.5,971.4000244140625,972.2000122070312,220.0
last_few_candles,971.8499755859375,972.9500122070312,971.0,972.7000122070312,221.0
last_few_candles,974.0,975.0,964.5,965.7999877929688,225.0
last_few_candles,976.8499755859375,977.4500122070312,975.0,977.0999755859375,239.0
last_few_candles,977.0999755859375,977.1500244140625,974.7000122070312,975.25,240.0
last_few_candles,975.7999877929688,976.9500122070312,974.6500244140625,976.6500244140625,242.0
last_few_candles,977.3499755859375,977.5,974.0499877929688,975.9500122070312,248.0
last_few_candles,991.3499755859375,995.25,989.25,993.7000122070312,275.0
last_few_candles,1022.4000244140625,1023.0499877929688,1020.0,1022.2000122070312,299.0
last_few_candles,1021.3499755859375,1021.3499755859375,1011.2000122070312,1012.2999877929688,300.0
last_few_candles,1012.7000122070312,1012.7000122070312,1005.5499877929688,1009.0,301.0
last_few_candles,1008.0,1008.2000122070312,1004.9000244140625,1005.0499877929688,309.0
last_few_candles,1004.7999877929688,1005.0,1000.7999877929688,1000.7999877929688,310.0
