liq_category,Open,High,Low,Close,ser_no
last_few_candles,535.0,538.0,534.25,537.9500122070312,50.0
last_few_candles,537.8499755859375,537.9500122070312,534.0,535.0,51.0
last_few_candles,534.75,535.4500122070312,533.25,535.25,52.0
last_few_candles,535.0999755859375,535.0999755859375,531.75,533.0999755859375,53.0
last_few_candles,534.25,536.4000244140625,532.3499755859375,532.4000244140625,60.0
last_few_candles,532.5,533.5999755859375,528.8499755859375,529.9000244140625,61.0
last_few_candles,533.2999877929688,533.75,525.0499877929688,528.1500244140625,73.0
last_few_candles,550.4500122070312,550.5999755859375,544.4000244140625,545.0999755859375,81.0
last_few_candles,545.0,546.5,544.0499877929688,544.75,82.0
last_few_candles,544.75,545.0,541.5999755859375,542.9000244140625,83.0
last_few_candles,550.0,551.4000244140625,549.5,550.0999755859375,94.0
last_few_candles,551.9000244140625,552.1500244140625,547.7000122070312,547.9500122070312,98.0
last_few_candles,547.7999877929688,548.8499755859375,547.2999877929688,548.0,99.0
last_few_candles,554.4000244140625,554.4000244140625,552.5,553.2000122070312,108.0
last_few_candles,553.2000122070312,554.7999877929688,552.2999877929688,553.1500244140625,109.0
last_few_candles,553.4500122070312,553.9500122070312,552.2000122070312,552.8499755859375,110.0
last_few_candles,552.75,553.0,550.2000122070312,550.6500244140625,111.0
last_few_candles,550.6500244140625,551.7000122070312,549.8499755859375,551.4500122070312,112.0
last_few_candles,550.5999755859375,550.75,549.0999755859375,549.2999877929688,114.0
last_few_candles,549.2999877929688,550.0499877929688,548.4500122070312,549.2999877929688,115.0
last_few_candles,550.0,550.0999755859375,548.2999877929688,549.0,122.0
last_few_candles,549.1500244140625,550.1500244140625,547.0499877929688,547.0499877929688,123.0
last_few_candles,547.3499755859375,548.5499877929688,547.0,547.5,124.0
last_few_candles,550.75,551.3499755859375,546.5499877929688,546.5499877929688,129.0
last_few_candles,546.5499877929688,549.8499755859375,546.5499877929688,548.4000244140625,130.0
last_few_candles,547.75,548.2000122070312,546.5,546.9500122070312,137.0
last_few_candles,546.9500122070312,547.7000122070312,546.0,547.0,138.0
last_few_candles,547.0,548.4500122070312,546.0,548.0999755859375,139.0
last_few_candles,547.1500244140625,547.2999877929688,545.75,546.0,147.0
last_few_candles,545.7999877929688,546.3499755859375,543.9500122070312,544.25,148.0
last_few_candles,547.8499755859375,548.7999877929688,543.0,543.7999877929688,150.0
last_few_candles,544.0,545.0,542.7000122070312,543.3499755859375,151.0
last_few_candles,551.2999877929688,551.8499755859375,549.8499755859375,549.8499755859375,169.0
last_few_candles,549.9500122070312,550.0999755859375,548.5,548.8499755859375,170.0
last_few_candles,548.9000244140625,549.25,546.75,547.5999755859375,171.0
last_few_candles,548.0999755859375,548.2999877929688,546.75,546.75,173.0
last_few_candles,546.7999877929688,547.7999877929688,546.75,547.25,174.0
last_few_candles,547.2999877929688,548.5999755859375,545.6500244140625,547.5999755859375,175.0
last_few_candles,546.3499755859375,546.75,545.5999755859375,545.9500122070312,181.0
last_few_candles,547.0,547.0,546.4500122070312,547.0,198.0
last_few_candles,549.75,551.9000244140625,546.3499755859375,549.0,200.0
last_few_candles,548.0999755859375,548.5999755859375,545.25,547.5,202.0
last_few_candles,545.7999877929688,545.9000244140625,541.5999755859375,543.0,206.0
last_few_candles,543.0,543.75,541.2999877929688,543.1500244140625,207.0
last_few_candles,543.9500122070312,543.9500122070312,540.9500122070312,542.7000122070312,212.0
last_few_candles,542.75,542.75,541.5499877929688,541.5999755859375,219.0
last_few_candles,541.75,541.9500122070312,540.75,541.1500244140625,220.0
last_few_candles,541.2000122070312,541.9500122070312,540.7000122070312,541.7000122070312,221.0
last_few_candles,557.5,557.8499755859375,555.7000122070312,556.4000244140625,239.0
last_few_candles,559.0499877929688,559.0499877929688,557.0,558.9500122070312,248.0
last_few_candles,559.75,562.7000122070312,555.4000244140625,562.0,250.0
last_few_candles,558.2999877929688,559.6500244140625,555.4000244140625,555.4500122070312,252.0
last_few_candles,555.5,556.5999755859375,555.0,556.5999755859375,253.0
last_few_candles,556.2999877929688,556.5999755859375,553.4000244140625,554.4500122070312,254.0
last_few_candles,556.3499755859375,556.4500122070312,555.2000122070312,555.5,263.0
last_few_candles,555.3499755859375,556.3499755859375,554.9000244140625,555.4000244140625,265.0
last_few_candles,555.3499755859375,557.9500122070312,554.7000122070312,557.9500122070312,266.0
last_few_candles,575.0999755859375,575.25,573.8499755859375,574.5,288.0
last_few_candles,574.5999755859375,574.7999877929688,573.7000122070312,574.0,289.0
last_few_candles,574.0,574.7000122070312,572.6500244140625,573.0,290.0
last_few_candles,573.2000122070312,573.2000122070312,571.75,572.4000244140625,291.0
last_few_candles,572.4500122070312,573.3499755859375,571.2000122070312,571.6500244140625,292.0
last_few_candles,571.8499755859375,572.0,569.5999755859375,569.75,293.0
last_few_candles,569.9500122070312,570.0,568.4500122070312,568.4500122070312,294.0
last_few_candles,568.2999877929688,568.9000244140625,567.1500244140625,567.3499755859375,295.0
last_few_candles,567.3499755859375,568.25,566.7999877929688,567.2000122070312,296.0
last_few_candles,567.7999877929688,568.0,563.5999755859375,564.0,298.0
last_few_candles,564.0,566.5999755859375,563.2000122070312,565.25,299.0
last_few_candles,564.75,565.8499755859375,558.0,561.0999755859375,300.0
last_few_candles,559.5999755859375,560.75,555.2999877929688,556.4500122070312,302.0
last_few_candles,556.7999877929688,557.0999755859375,553.5499877929688,554.0499877929688,303.0
last_few_candles,554.0999755859375,555.5,553.1500244140625,554.2999877929688,304.0
last_few_candles,554.2000122070312,554.75,551.0,552.3499755859375,305.0
