imb_open,imb_close,del_imb,Open,High,Low,Close,ser_no,imb_high,imb_low
0,0,1,535.0,538.0,534.25,537.9500122070312,50.0,538.0,534.25
0,0,1,537.8499755859375,537.9500122070312,534.0,535.0,51.0,537.9500122070312,534.0
0,0,1,534.75,535.4500122070312,533.25,535.25,52.0,535.4500122070312,533.25
0,0,1,535.0999755859375,535.0999755859375,531.75,533.0999755859375,53.0,535.0999755859375,531.75
0,0,1,533.0999755859375,534.25,532.0,533.5,54.0,534.25,532.0
0,0,1,533.6500244140625,535.7000122070312,532.4000244140625,535.7000122070312,55.0,535.7000122070312,532.4000244140625
0,0,1,535.4000244140625,536.9000244140625,534.75,535.5499877929688,56.0,536.9000244140625,534.75
0,0,1,535.5,535.8499755859375,534.5,534.7000122070312,57.0,535.8499755859375,534.5
0,0,1,534.4500122070312,536.0,534.2999877929688,535.25,58.0,536.0,534.2999877929688
0,0,1,535.2000122070312,535.25,533.7999877929688,534.25,59.0,535.25,533.7999877929688
0,0,1,534.25,536.4000244140625,532.3499755859375,532.4000244140625,60.0,536.4000244140625,532.3499755859375
0,0,1,532.5,533.5999755859375,528.8499755859375,529.9000244140625,61.0,533.5999755859375,528.8499755859375
0,0,1,529.9000244140625,532.3499755859375,529.2000122070312,531.9500122070312,62.0,532.3499755859375,529.2000122070312
0,0,1,532.0,533.4500122070312,529.7999877929688,532.7999877929688,63.0,533.4500122070312,529.7999877929688
0,0,1,532.3499755859375,533.7000122070312,530.5999755859375,531.25,64.0,533.7000122070312,530.5999755859375
0,0,1,531.2000122070312,532.8499755859375,530.7999877929688,532.0999755859375,65.0,532.8499755859375,530.7999877929688
0,0,1,532.0999755859375,532.5,530.4500122070312,531.6500244140625,66.0,532.5,530.4500122070312
0,0,1,531.6500244140625,532.5,530.0999755859375,532.2000122070312,67.0,532.5,530.0999755859375
0,0,1,532.2999877929688,533.4000244140625,530.5,531.5999755859375,68.0,533.4000244140625,530.5
0,0,1,531.5499877929688,533.0499877929688,530.5999755859375,532.25,69.0,533.0499877929688,530.5999755859375
0,0,1,532.25,536.1500244140625,531.4500122070312,535.0999755859375,70.0,536.1500244140625,531.4500122070312
0,0,1,535.25,536.9500122070312,535.0499877929688,535.4500122070312,71.0,536.9500122070312,535.0499877929688
0,0,1,535.5499877929688,536.2000122070312,533.2999877929688,533.2999877929688,72.0,536.2000122070312,533.2999877929688
0,0,1,533.2999877929688,533.75,525.0499877929688,528.1500244140625,73.0,533.75,525.0499877929688
0,0,1,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,530.2000122070312,527.5999755859375
0,0,1,532.0,552.4500122070312,525.4500122070312,552.4500122070312,75.0,552.4500122070312,525.4500122070312
0,0,1,552.0,556.8499755859375,550.75,553.25,76.0,556.8499755859375,550.75
0,0,1,553.0499877929688,558.25,551.2999877929688,554.8499755859375,77.0,558.25,551.2999877929688
0,0,1,554.9000244140625,555.8499755859375,550.0499877929688,550.2999877929688,78.0,555.8499755859375,550.0499877929688
0,0,1,550.4000244140625,550.5999755859375,545.7000122070312,547.9500122070312,79.0,550.5999755859375,545.7000122070312
0,0,1,547.9000244140625,551.3499755859375,545.0499877929688,550.5,80.0,551.3499755859375,545.0499877929688
0,0,1,550.4500122070312,550.5999755859375,544.4000244140625,545.0999755859375,81.0,550.5999755859375,544.4000244140625
0,0,1,545.0,546.5,544.0499877929688,544.75,82.0,546.5,544.0499877929688
0,0,1,544.75,545.0,541.5999755859375,542.9000244140625,83.0,545.0,541.5999755859375
0,0,1,542.7999877929688,549.1500244140625,542.2999877929688,547.3499755859375,84.0,549.1500244140625,542.2999877929688
0,0,1,547.5999755859375,548.3499755859375,546.5,547.2000122070312,85.0,548.3499755859375,546.5
0,0,1,547.4500122070312,548.6500244140625,545.5499877929688,548.0499877929688,86.0,548.6500244140625,545.5499877929688
0,0,1,548.0499877929688,550.7000122070312,547.7999877929688,550.0,87.0,550.7000122070312,547.7999877929688
0,0,1,549.7999877929688,550.7999877929688,549.5,549.8499755859375,88.0,550.7999877929688,549.5
0,0,1,549.7000122070312,552.6500244140625,549.5,551.9500122070312,89.0,552.6500244140625,549.5
0,0,1,551.9000244140625,552.2000122070312,549.75,550.3499755859375,90.0,552.2000122070312,549.75
0,0,1,550.4000244140625,552.0,550.0499877929688,551.25,91.0,552.0,550.0499877929688
0,0,1,551.3499755859375,551.7999877929688,549.5499877929688,549.7000122070312,92.0,551.7999877929688,549.5499877929688
0,0,1,549.5999755859375,550.7000122070312,549.5999755859375,550.0,93.0,550.7000122070312,549.5999755859375
0,0,1,550.0,551.4000244140625,549.5,550.0999755859375,94.0,551.4000244140625,549.5
0,0,1,550.0499877929688,554.8499755859375,550.0499877929688,554.25,95.0,554.8499755859375,550.0499877929688
0,0,1,554.25,554.5,551.5,552.2000122070312,96.0,554.5,551.5
0,0,1,552.2000122070312,553.4500122070312,551.9000244140625,551.9000244140625,97.0,553.4500122070312,551.9000244140625
0,0,1,551.9000244140625,552.1500244140625,547.7000122070312,547.9500122070312,98.0,552.1500244140625,547.7000122070312
0,0,1,547.7999877929688,548.8499755859375,547.2999877929688,548.0,99.0,548.8499755859375,547.2999877929688
0,0,1,555.9000244140625,556.5999755859375,551.75,554.7000122070312,100.0,556.5999755859375,551.75
0,0,1,554.7999877929688,555.6500244140625,551.8499755859375,553.5,101.0,555.6500244140625,551.8499755859375
0,0,1,553.5,558.5499877929688,553.0999755859375,556.7999877929688,102.0,558.5499877929688,553.0999755859375
