imb_open,imb_close,del_imb,Open,High,Low,Close,ser_no,imb_high,imb_low
0,0,1,155.6999969482422,156.3000030517578,155.1999969482422,155.55999755859375,50.0,156.3000030517578,155.1999969482422
0,0,1,155.55999755859375,155.55999755859375,154.07000732421875,154.4499969482422,51.0,155.55999755859375,154.07000732421875
0,0,1,154.4499969482422,154.4499969482422,153.80999755859375,153.97000122070312,52.0,154.4499969482422,153.80999755859375
0,0,1,153.92999267578125,154.3000030517578,153.64999389648438,154.25,53.0,154.3000030517578,153.64999389648438
0,0,1,154.25,154.25999450683594,153.55999755859375,154.1300048828125,54.0,154.25999450683594,153.55999755859375
0,0,1,154.1300048828125,154.42999267578125,154.0,154.2899932861328,55.0,154.42999267578125,154.0
0,0,1,154.24000549316406,154.75,154.2100067138672,154.5500030517578,56.0,154.75,154.2100067138672
0,0,1,154.52000427246094,154.69000244140625,154.42999267578125,154.4600067138672,57.0,154.69000244140625,154.42999267578125
0,0,1,154.4199981689453,154.86000061035156,154.19000244140625,154.35000610351562,58.0,154.86000061035156,154.19000244140625
0,0,1,154.3800048828125,154.5,153.97000122070312,154.02000427246094,59.0,154.5,153.97000122070312
0,0,1,154.0500030517578,154.13999938964844,153.8000030517578,153.85000610351562,60.0,154.13999938964844,153.8000030517578
0,0,1,153.85000610351562,154.10000610351562,153.77000427246094,153.85000610351562,61.0,154.10000610351562,153.77000427246094
0,0,1,153.80999755859375,154.0500030517578,153.7100067138672,153.9600067138672,62.0,154.0500030517578,153.7100067138672
0,0,1,153.9600067138672,154.14999389648438,153.6199951171875,153.72999572753906,63.0,154.14999389648438,153.6199951171875
0,0,1,153.72999572753906,153.9499969482422,153.52000427246094,153.9199981689453,64.0,153.9499969482422,153.52000427246094
0,0,1,153.91000366210938,153.97999572753906,153.35000610351562,153.47000122070312,65.0,153.97999572753906,153.35000610351562
0,0,1,153.52000427246094,153.64999389648438,153.0,153.13999938964844,66.0,153.64999389648438,153.0
0,0,1,153.10000610351562,153.3000030517578,153.0,153.2899932861328,67.0,153.3000030517578,153.0
0,0,1,153.2899932861328,153.3000030517578,152.6199951171875,152.75,68.0,153.3000030517578,152.6199951171875
0,0,1,152.6999969482422,152.89999389648438,152.25999450683594,152.2899932861328,69.0,152.89999389648438,152.25999450683594
0,0,1,152.33999633789062,152.91000366210938,152.27999877929688,152.75,70.0,152.91000366210938,152.27999877929688
0,0,1,152.72000122070312,152.85000610351562,152.41000366210938,152.5399932861328,71.0,152.85000610351562,152.41000366210938
0,0,1,152.5399932861328,152.7899932861328,152.2899932861328,152.60000610351562,72.0,152.7899932861328,152.2899932861328
0,0,1,152.6300048828125,152.91000366210938,152.3300018310547,152.47999572753906,73.0,152.91000366210938,152.3300018310547
0,0,1,152.42999267578125,152.52999877929688,152.16000366210938,152.39999389648438,74.0,152.52999877929688,152.16000366210938
0,0,1,152.3699951171875,152.5,151.10000610351562,151.1999969482422,75.0,152.5,151.10000610351562
0,0,1,151.2100067138672,153.42999267578125,151.17999267578125,152.80999755859375,76.0,153.42999267578125,151.17999267578125
0,0,1,152.83999633789062,153.14999389648438,152.14999389648438,152.69000244140625,77.0,153.14999389648438,152.14999389648438
0,0,1,152.66000366210938,153.60000610351562,152.41000366210938,153.4199981689453,78.0,153.60000610351562,152.41000366210938
0,0,1,153.4199981689453,153.97999572753906,153.1199951171875,153.89999389648438,79.0,153.97999572753906,153.1199951171875
0,0,1,153.89999389648438,154.1999969482422,153.50999450683594,153.77999877929688,80.0,154.1999969482422,153.50999450683594
0,0,1,153.77999877929688,154.1999969482422,153.30999755859375,153.42999267578125,81.0,154.1999969482422,153.30999755859375
0,0,1,153.39999389648438,153.77999877929688,153.1999969482422,153.49000549316406,82.0,153.77999877929688,153.1999969482422
0,0,1,153.5500030517578,153.6300048828125,153.16000366210938,153.6199951171875,83.0,153.6300048828125,153.16000366210938
0,0,1,153.58999633789062,155.0,153.5500030517578,154.91000366210938,84.0,155.0,153.5500030517578
0,0,1,154.91000366210938,155.1999969482422,154.60000610351562,154.97999572753906,85.0,155.1999969482422,154.60000610351562
0,0,1,154.9600067138672,155.3000030517578,154.6699981689453,154.72999572753906,86.0,155.3000030517578,154.6699981689453
0,0,1,154.67999267578125,155.25,154.67999267578125,155.1300048828125,87.0,155.25,154.67999267578125
0,0,1,155.1300048828125,155.64999389648438,155.00999450683594,155.61000061035156,88.0,155.64999389648438,155.00999450683594
0,0,1,155.49000549316406,155.8300018310547,155.3300018310547,155.58999633789062,89.0,155.8300018310547,155.3300018310547
0,0,1,155.55999755859375,155.88999938964844,155.3000030517578,155.66000366210938,90.0,155.88999938964844,155.3000030517578
0,0,1,155.66000366210938,156.1999969482422,155.61000061035156,155.8699951171875,91.0,156.1999969482422,155.61000061035156
0,0,1,155.86000061035156,155.9499969482422,155.55999755859375,155.67999267578125,92.0,155.9499969482422,155.55999755859375
0,0,1,155.63999938964844,155.8800048828125,155.39999389648438,155.44000244140625,93.0,155.8800048828125,155.39999389648438
0,0,1,155.47000122070312,155.67999267578125,155.1999969482422,155.2100067138672,94.0,155.67999267578125,155.1999969482422
0,0,1,155.22000122070312,155.75,155.10000610351562,155.75,95.0,155.75,155.10000610351562
0,0,1,155.75,155.8000030517578,155.2100067138672,155.3000030517578,96.0,155.8000030517578,155.2100067138672
0,0,1,155.32000732421875,155.7899932861328,155.2100067138672,155.6999969482422,97.0,155.7899932861328,155.2100067138672
0,0,1,155.6999969482422,155.6999969482422,155.14999389648438,155.3699951171875,98.0,155.6999969482422,155.14999389648438
0,0,1,155.3699951171875,155.69000244140625,155.14999389648438,155.5,99.0,155.69000244140625,155.14999389648438
0,0,1,157.47999572753906,157.89999389648438,155.9199981689453,156.49000549316406,100.0,157.89999389648438,155.9199981689453
0,0,1,156.49000549316406,156.67999267578125,155.22000122070312,155.41000366210938,101.0,156.67999267578125,155.22000122070312
0,0,1,155.41000366210938,155.4199981689453,154.61000061035156,155.0500030517578,102.0,155.4199981689453,154.61000061035156
0,0,1,155.0500030517578,156.2899932861328,154.9600067138672,155.64999389648438,103.0,156.2899932861328,154.9600067138672
0,0,1,155.66000366210938,156.1999969482422,155.1999969482422,155.2100067138672,104.0,156.1999969482422,155.1999969482422
0,0,1,155.2100067138672,155.52999877929688,155.02999877929688,155.25,105.0,155.52999877929688,155.02999877929688
0,0,1,155.25999450683594,155.5,154.8000030517578,155.05999755859375,106.0,155.5,154.8000030517578
0,0,1,155.0800018310547,155.58999633789062,154.85000610351562,155.52999877929688,107.0,155.58999633789062,154.85000610351562
0,0,1,155.52000427246094,155.67999267578125,155.25,155.49000549316406,108.0,155.67999267578125,155.25
0,0,1,155.44000244140625,155.5,155.00999450683594,155.3699951171875,109.0,155.5,155.00999450683594
0,0,1,155.36000061035156,155.36000061035156,154.9499969482422,155.02000427246094,110.0,155.36000061035156,154.9499969482422
0,0,1,155.02000427246094,155.25999450683594,154.91000366210938,154.91000366210938,111.0,155.25999450683594,154.91000366210938
0,0,1,154.97000122070312,155.14999389648438,154.64999389648438,154.89999389648438,112.0,155.14999389648438,154.64999389648438
0,0,1,154.89999389648438,155.10000610351562,154.6999969482422,154.92999267578125,113.0,155.10000610351562,154.6999969482422
