liq_category,Open,High,Low,Close,ser_no
last_few_candles,1365.050048828125,1368.449951171875,1361.449951171875,1363.25,50.0
last_few_candles,1363.2249755859375,1365.0,1357.6500244140625,1359.1500244140625,51.0
last_few_candles,1359.1500244140625,1361.574951171875,1357.5,1360.449951171875,52.0
last_few_candles,1359.5,1360.9000244140625,1359.0,1359.0250244140625,58.0
last_few_candles,1359.0,1359.9749755859375,1357.7750244140625,1358.550048828125,59.0
last_few_candles,1358.875,1359.550048828125,1357.5250244140625,1359.050048828125,65.0
last_few_candles,1359.050048828125,1359.449951171875,1353.7750244140625,1355.0999755859375,66.0
last_few_candles,1355.4000244140625,1355.550048828125,1352.125,1353.5,68.0
last_few_candles,1352.9749755859375,1357.324951171875,1341.375,1342.5999755859375,75.0
last_few_candles,1364.7750244140625,1366.550048828125,1362.5,1364.6500244140625,93.0
last_few_candles,1363.875,1364.375,1362.175048828125,1363.0999755859375,97.0
last_few_candles,1362.949951171875,1363.3499755859375,1357.550048828125,1358.050048828125,98.0
last_few_candles,1357.574951171875,1359.550048828125,1356.5,1358.5,99.0
last_few_candles,1364.6500244140625,1367.8499755859375,1364.0,1367.199951171875,112.0
last_few_candles,1369.324951171875,1369.3499755859375,1367.4000244140625,1368.0,124.0
last_few_candles,1373.875,1375.25,1365.0,1365.050048828125,128.0
last_few_candles,1365.2249755859375,1365.4749755859375,1358.175048828125,1358.875,129.0
last_few_candles,1361.574951171875,1362.300048828125,1358.4000244140625,1358.7750244140625,137.0
last_few_candles,1358.7750244140625,1359.5,1355.5,1355.925048828125,138.0
last_few_candles,1355.9000244140625,1355.9000244140625,1349.625,1351.9749755859375,139.0
last_few_candles,1351.9749755859375,1352.75,1349.5250244140625,1352.675048828125,140.0
last_few_candles,1352.574951171875,1352.7249755859375,1347.0,1349.8499755859375,141.0
last_few_candles,1349.699951171875,1351.175048828125,1346.0,1349.2750244140625,147.0
last_few_candles,1349.25,1350.2249755859375,1341.4000244140625,1341.4000244140625,148.0
last_few_candles,1341.5,1344.7249755859375,1340.2249755859375,1342.050048828125,149.0
last_few_candles,1339.9749755859375,1345.824951171875,1336.4749755859375,1341.3499755859375,150.0
last_few_candles,1347.5250244140625,1349.5999755859375,1344.5,1347.175048828125,167.0
last_few_candles,1346.875,1346.875,1341.3499755859375,1341.449951171875,169.0
last_few_candles,1341.4749755859375,1342.324951171875,1338.125,1339.0250244140625,170.0
last_few_candles,1339.2750244140625,1340.199951171875,1335.2750244140625,1336.2249755859375,171.0
last_few_candles,1336.199951171875,1338.375,1335.0,1338.25,172.0
last_few_candles,1337.3499755859375,1338.25,1330.925048828125,1333.625,176.0
last_few_candles,1331.875,1331.925048828125,1326.800048828125,1328.5,181.0
last_few_candles,1328.625,1328.7750244140625,1323.199951171875,1324.9749755859375,182.0
last_few_candles,1339.75,1339.75,1332.7249755859375,1334.175048828125,201.0
last_few_candles,1334.175048828125,1337.0,1328.6500244140625,1329.6500244140625,202.0
last_few_candles,1329.1500244140625,1330.9749755859375,1327.5,1328.0,203.0
last_few_candles,1328.0,1329.7249755859375,1327.074951171875,1328.5,204.0
last_few_candles,1328.050048828125,1329.5250244140625,1322.5,1325.375,205.0
last_few_candles,1328.824951171875,1328.949951171875,1325.0,1326.5250244140625,212.0
last_few_candles,1329.5,1330.199951171875,1326.0250244140625,1326.324951171875,221.0
last_few_candles,1328.2750244140625,1329.4749755859375,1325.5,1326.875,223.0
last_few_candles,1336.449951171875,1336.449951171875,1322.9000244140625,1323.8499755859375,225.0
last_few_candles,1323.5,1331.300048828125,1322.0999755859375,1331.300048828125,227.0
last_few_candles,1349.800048828125,1349.9000244140625,1340.699951171875,1343.449951171875,239.0
last_few_candles,1343.6500244140625,1343.6500244140625,1338.949951171875,1339.8499755859375,240.0
last_few_candles,1339.8499755859375,1340.0,1337.0,1338.699951171875,243.0
last_few_candles,1338.6500244140625,1340.449951171875,1337.0,1338.800048828125,244.0
last_few_candles,1338.800048828125,1340.449951171875,1335.199951171875,1336.0999755859375,245.0
last_few_candles,1338.75,1338.800048828125,1333.050048828125,1334.699951171875,248.0
last_few_candles,1334.699951171875,1335.1500244140625,1332.050048828125,1334.1500244140625,249.0
last_few_candles,1329.050048828125,1335.5999755859375,1323.3499755859375,1332.75,250.0
last_few_candles,1328.5999755859375,1328.800048828125,1323.0,1325.5999755859375,252.0
last_few_candles,1325.550048828125,1326.4000244140625,1320.5,1324.9000244140625,253.0
last_few_candles,1332.1500244140625,1332.6500244140625,1330.0,1330.199951171875,267.0
last_few_candles,1330.25,1332.5999755859375,1329.199951171875,1332.5999755859375,268.0
last_few_candles,1337.6500244140625,1338.75,1326.6500244140625,1335.5,275.0
last_few_candles,1345.75,1345.949951171875,1340.199951171875,1340.5,282.0
last_few_candles,1340.300048828125,1342.949951171875,1338.5,1340.300048828125,283.0
last_few_candles,1340.0,1342.0,1338.25,1342.0,285.0
last_few_candles,1343.75,1345.0,1340.25,1341.5999755859375,292.0
last_few_candles,1341.5999755859375,1343.050048828125,1339.550048828125,1341.1500244140625,293.0
last_few_candles,1341.3499755859375,1342.3499755859375,1337.4000244140625,1338.0,294.0
last_few_candles,1336.1500244140625,1341.5,1336.1500244140625,1341.0999755859375,295.0
last_few_candles,1341.8499755859375,1342.699951171875,1334.699951171875,1335.4000244140625,300.0
last_few_candles,1335.4000244140625,1336.0999755859375,1330.0,1331.1500244140625,301.0
last_few_candles,1335.6500244140625,1335.75,1333.3499755859375,1334.300048828125,308.0
