data_for_id,imb_open,imb_close,Open,High,Low,Close,ser_no,imb_diff
55,534.25,535.7000122070312,533.0999755859375,534.25,532.0,533.5,54.0,1.45001220703125
56,534.25,534.75,533.0999755859375,534.25,532.0,533.5,54.0,0.5
57,534.25,534.5,533.0999755859375,534.25,532.0,533.5,54.0,0.25
58,534.25,534.2999877929688,533.0999755859375,534.25,532.0,533.5,54.0,0.04998779296875
63,532.3499755859375,532.7999877929688,529.9000244140625,532.3499755859375,529.2000122070312,531.9500122070312,62.0,0.45001220703125
75,532.0,552.4500122070312,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,20.45001220703125
76,532.0,550.75,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,18.75
77,532.0,550.75,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,18.75
78,532.0,550.0499877929688,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,18.04998779296875
79,532.0,545.7000122070312,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,13.70001220703125
80,532.0,545.0499877929688,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,13.04998779296875
81,532.0,544.4000244140625,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,12.4000244140625
82,532.0,544.0499877929688,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,12.04998779296875
83,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
84,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
84,545.0,547.3499755859375,544.75,545.0,541.5999755859375,542.9000244140625,83.0,2.3499755859375
85,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
85,545.0,546.5,544.75,545.0,541.5999755859375,542.9000244140625,83.0,1.5
86,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
86,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
87,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
87,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
88,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
88,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
89,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
89,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
90,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
90,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
91,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
91,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
92,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
92,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
93,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
93,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
94,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
94,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
95,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
95,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
95,551.4000244140625,554.25,550.0,551.4000244140625,549.5,550.0999755859375,94.0,2.8499755859375
96,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
96,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
96,551.4000244140625,551.5,550.0,551.4000244140625,549.5,550.0999755859375,94.0,0.0999755859375
97,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
97,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
97,551.4000244140625,551.5,550.0,551.4000244140625,549.5,550.0999755859375,94.0,0.0999755859375
98,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
98,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
99,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
99,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
100,532.0,541.5999755859375,528.1500244140625,530.2000122070312,527.5999755859375,528.8499755859375,74.0,9.5999755859375
100,545.0,545.5499877929688,544.75,545.0,541.5999755859375,542.9000244140625,83.0,0.54998779296875
