Open,High,Low,Close,ser_no
1115.300048828125,1115.300048828125,1109.8499755859375,1112.449951171875,50
1112.0,1116.9000244140625,1111.0,1111.5,51
1108.5,1109.3499755859375,1104.949951171875,1105.4000244140625,53
1105.0,1106.75,1104.699951171875,1105.9000244140625,54
1106.1500244140625,1108.050048828125,1105.0,1105.449951171875,55
1105.0999755859375,1105.800048828125,1102.199951171875,1102.199951171875,57
1102.8499755859375,1103.449951171875,1101.1500244140625,1102.199951171875,58
1101.9000244140625,1103.5,1100.9000244140625,1101.449951171875,60
1101.8499755859375,1101.8499755859375,1097.0,1097.550048828125,61
1097.5,1098.0,1094.0,1094.5,63
1094.5,1097.25,1092.5999755859375,1095.699951171875,64
1094.0999755859375,1094.3499755859375,1091.050048828125,1091.550048828125,66
1091.550048828125,1093.8499755859375,1091.199951171875,1093.8499755859375,67
1091.9000244140625,1092.4000244140625,1087.800048828125,1088.300048828125,69
1088.9000244140625,1090.8499755859375,1087.949951171875,1089.800048828125,70
1089.699951171875,1093.050048828125,1089.1500244140625,1090.0,72
1084.949951171875,1084.949951171875,1073.199951171875,1073.550048828125,75
1073.550048828125,1083.449951171875,1073.550048828125,1078.199951171875,76
1076.6500244140625,1082.550048828125,1076.0,1082.550048828125,78
1082.1500244140625,1082.1500244140625,1078.199951171875,1079.6500244140625,79
1079.1500244140625,1081.550048828125,1075.0,1076.3499755859375,81
1076.0999755859375,1078.8499755859375,1075.0,1075.449951171875,82
1077.6500244140625,1085.0,1077.1500244140625,1082.5999755859375,84
1082.300048828125,1087.75,1081.050048828125,1086.25,86
1086.300048828125,1086.300048828125,1083.75,1084.75,87
1084.699951171875,1088.75,1084.0,1085.75,88
1085.5,1090.9000244140625,1084.0,1089.800048828125,90
1090.5,1090.5,1086.300048828125,1089.3499755859375,92
1089.300048828125,1090.0,1087.0,1088.6500244140625,93
1088.6500244140625,1089.0,1086.6500244140625,1087.0,94
1091.8499755859375,1094.75,1090.0,1093.6500244140625,97
1093.699951171875,1094.8499755859375,1090.050048828125,1091.0999755859375,98
1090.8499755859375,1098.1500244140625,1090.800048828125,1093.25,99
1008.5499877929688,1008.5499877929688,992.0,1002.2000122070312,102
996.5499877929688,997.5,986.6500244140625,988.5999755859375,105
1001.2999877929688,1006.5,1000.1500244140625,1005.9500122070312,108
1009.2999877929688,1016.0999755859375,1004.7000122070312,1014.5499877929688,111
1015.25,1017.7000122070312,1013.0,1017.1500244140625,113
1015.5999755859375,1015.6500244140625,1009.9000244140625,1013.4500122070312,115
1013.4500122070312,1017.9000244140625,1013.4500122070312,1015.4000244140625,116
1015.25,1018.0999755859375,1015.0999755859375,1017.5,117
1017.5999755859375,1017.9500122070312,1015.5,1017.5999755859375,118
1017.5999755859375,1020.1500244140625,1016.7999877929688,1017.0499877929688,119
1017.9500122070312,1019.2000122070312,1015.7999877929688,1016.0,123
1020.8499755859375,1020.8499755859375,1006.9000244140625,1007.9500122070312,125
1013.0,1013.9500122070312,1004.4000244140625,1005.2999877929688,127
1005.25,1007.8499755859375,1003.75,1004.0,129
1004.6500244140625,1010.2999877929688,1003.5999755859375,1008.4000244140625,131
1008.4000244140625,1011.4000244140625,1005.1500244140625,1006.9500122070312,132
1007.1500244140625,1007.7000122070312,1004.0,1005.8499755859375,133
1004.25,1005.7999877929688,1001.0,1001.25,136
1001.5499877929688,1001.9000244140625,998.0,998.7999877929688,138
998.7999877929688,1000.0,998.4000244140625,1000.0,139
1000.0,1000.0,995.0,998.6500244140625,140
998.4500122070312,999.0,995.1500244140625,996.7000122070312,141
996.7000122070312,997.0,995.2000122070312,995.8499755859375,142
996.9000244140625,1000.0,994.6500244140625,999.4500122070312,144
998.7999877929688,999.0,996.25,997.0999755859375,146
997.0,997.9000244140625,996.0,997.3499755859375,147
996.9000244140625,1000.0,996.9000244140625,999.8499755859375,149
1004.0,1005.75,997.0,999.9500122070312,150
998.0499877929688,1006.4000244140625,998.0,1005.9000244140625,152
1005.4000244140625,1006.3499755859375,1002.5999755859375,1003.6500244140625,153
1004.7999877929688,1006.0,1001.6500244140625,1003.2999877929688,154
1003.9500122070312,1004.75,1002.5499877929688,1003.0499877929688,155
1007.5999755859375,1008.4500122070312,1004.1500244140625,1005.9000244140625,161
1010.0,1013.9500122070312,1009.5999755859375,1011.5499877929688,164
1011.4000244140625,1012.0499877929688,1009.8499755859375,1010.1500244140625,165
1012.2999877929688,1014.0,1011.25,1013.7999877929688,167
1012.6500244140625,1014.5,1011.1500244140625,1011.5499877929688,169
1011.5499877929688,1015.0,1010.5499877929688,1014.1500244140625,170
1016.5,1016.5,1003.5,1012.25,175
1012.25,1014.9500122070312,1007.3499755859375,1010.2000122070312,176
1011.5,1012.7000122070312,1007.0999755859375,1007.4000244140625,178
1008.5999755859375,1009.0999755859375,1001.8499755859375,1001.8499755859375,180
1007.0999755859375,1012.5499877929688,1006.75,1012.3499755859375,184
1008.4000244140625,1008.4000244140625,1003.9000244140625,1005.2999877929688,186
1005.0,1006.2999877929688,1003.4000244140625,1004.7000122070312,187
1004.0499877929688,1005.2999877929688,999.2000122070312,1001.25,189
1001.2000122070312,1001.9000244140625,999.9000244140625,1000.25,190
1000.2000122070312,1001.6500244140625,999.7999877929688,1001.2999877929688,191
1001.3499755859375,1001.4500122070312,998.8499755859375,1000.1500244140625,192
999.9500122070312,1000.8499755859375,998.5999755859375,999.6500244140625,193
999.25,1000.2999877929688,997.5,998.7999877929688,194
998.9000244140625,999.7000122070312,997.5,998.4500122070312,195
