imb_open,imb_close,del_imb,Open,High,Low,Close,ser_no,imb_high,imb_low
0,0,1,49729.25,49733.1484375,49720.19921875,49720.75,1367.0,49733.1484375,49720.19921875
0,0,1,49721.80078125,49739.05078125,49720.5,49727.3984375,1368.0,49739.05078125,49720.5
0,0,1,49724.75,49732.3515625,49721.3984375,49722.6015625,1369.0,49732.3515625,49721.3984375
0,0,1,49726.1484375,49735.6015625,49724.25,49732.05078125,1370.0,49735.6015625,49724.25
0,0,1,49732.1015625,49732.1015625,49712.30078125,49717.75,1371.0,49732.1015625,49712.30078125
0,0,1,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,49719.94921875,49710.3515625
0,0,1,49713.5,49723.6484375,49711.1484375,49722.44921875,1373.0,49723.6484375,49711.1484375
0,0,1,49723.1015625,49745.69921875,49721.69921875,49738.3515625,1374.0,49745.69921875,49721.69921875
0,0,1,49737.80078125,49740.1484375,49728.1484375,49735.19921875,1375.0,49740.1484375,49728.1484375
0,0,1,49732.44921875,49732.44921875,49731.6484375,49732.19921875,1376.0,49732.44921875,49731.6484375
0,0,1,49738.3984375,49742.8984375,49731.6015625,49740.8515625,1377.0,49742.8984375,49731.6015625
0,0,1,49739.30078125,49752.3515625,49738.3515625,49742.5,1378.0,49752.3515625,49738.3515625
0,0,1,49745.25,49745.25,49723.0,49725.30078125,1379.0,49745.25,49723.0
0,0,1,49725.0,49734.0,49722.30078125,49731.30078125,1380.0,49734.0,49722.30078125
0,0,1,49730.6015625,49746.3515625,49730.6015625,49743.69921875,1381.0,49746.3515625,49730.6015625
0,0,1,49743.0,49745.5,49728.0,49744.30078125,1382.0,49745.5,49728.0
0,0,1,49740.3515625,49750.5,49729.25,49740.25,1383.0,49750.5,49729.25
0,0,1,49736.1484375,49751.30078125,49732.55078125,49749.6484375,1384.0,49751.30078125,49732.55078125
0,0,1,49754.8515625,49754.8515625,49744.75,49747.8984375,1385.0,49754.8515625,49744.75
0,0,1,49748.1484375,49757.3984375,49745.25,49750.25,1386.0,49757.3984375,49745.25
0,0,1,49747.1484375,49750.3515625,49741.05078125,49745.5,1387.0,49750.3515625,49741.05078125
0,0,1,49745.55078125,49751.19921875,49740.3984375,49748.80078125,1388.0,49751.19921875,49740.3984375
0,0,1,49748.6015625,49751.80078125,49740.55078125,49742.44921875,1389.0,49751.80078125,49740.55078125
0,0,1,49742.30078125,49747.3515625,49733.8515625,49736.80078125,1390.0,49747.3515625,49733.8515625
0,0,1,49742.30078125,49744.80078125,49729.80078125,49743.05078125,1391.0,49744.80078125,49729.80078125
0,0,1,49744.0,49751.80078125,49734.1015625,49740.8984375,1392.0,49751.80078125,49734.1015625
0,0,1,49737.80078125,49746.0,49735.69921875,49739.55078125,1393.0,49746.0,49735.69921875
0,0,1,49739.69921875,49751.19921875,49739.05078125,49745.30078125,1394.0,49751.19921875,49739.05078125
0,0,1,49745.0,49745.1484375,49737.94921875,49744.55078125,1395.0,49745.1484375,49737.94921875
0,0,1,49744.94921875,49744.94921875,49736.30078125,49740.5,1396.0,49744.94921875,49736.30078125
0,0,1,49740.69921875,49743.69921875,49738.1484375,49741.19921875,1397.0,49743.69921875,49738.1484375
0,0,1,49742.1015625,49746.05078125,49732.05078125,49739.1015625,1398.0,49746.05078125,49732.05078125
0,0,1,49737.25,49741.8984375,49727.30078125,49728.25,1399.0,49741.8984375,49727.30078125
0,0,1,49728.6484375,49744.69921875,49728.6484375,49734.19921875,1400.0,49744.69921875,49728.6484375
0,0,1,49732.8984375,49742.75,49721.94921875,49722.75,1401.0,49742.75,49721.94921875
0,0,1,49719.1484375,49727.30078125,49703.5,49708.19921875,1402.0,49727.30078125,49703.5
0,0,1,49708.94921875,49717.8984375,49706.19921875,49717.8984375,1403.0,49717.8984375,49706.19921875
0,0,1,49714.6484375,49718.05078125,49706.44921875,49712.6015625,1404.0,49718.05078125,49706.44921875
0,0,1,49714.30078125,49724.1484375,49707.44921875,49707.6015625,1405.0,49724.1484375,49707.44921875
