data_for_id,imb_open,imb_close,Open,High,Low,Close,ser_no,imb_diff
1373,49719.94921875,49722.44921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,2.5
1374,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1375,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1376,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1377,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1378,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1379,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1380,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1381,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1381,49734.0,49743.69921875,49725.0,49734.0,49722.30078125,49731.30078125,1380.0,9.69921875
1382,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1383,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1384,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1385,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1386,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1387,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1388,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1389,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1390,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1391,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1392,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1393,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1394,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1395,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1396,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1397,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1398,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1399,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1400,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1401,49719.94921875,49721.69921875,49716.94921875,49719.94921875,49710.3515625,49712.05078125,1372.0,1.75
1430,49733.75,49735.94921875,49721.3984375,49733.75,49716.05078125,49727.30078125,1429.0,2.19921875
1458,49739.75,49742.5,49718.5,49739.75,49718.5,49730.94921875,1457.0,2.75
1459,49739.75,49739.8515625,49718.5,49739.75,49718.5,49730.94921875,1457.0,0.1015625
1474,49730.30078125,49737.6015625,49727.69921875,49730.30078125,49708.94921875,49713.94921875,1473.0,7.30078125
1477,49729.19921875,49730.25,49728.8515625,49729.19921875,49692.80078125,49701.44921875,1476.0,1.05078125
1478,49732.0,49737.05078125,49699.1015625,49730.6484375,49696.6484375,49730.25,1477.0,5.05078125
1491,49737.3984375,49747.3984375,49722.44921875,49737.3984375,49718.0,49727.3984375,1490.0,10.0
1492,49737.3984375,49739.0,49722.44921875,49737.3984375,49718.0,49727.3984375,1490.0,1.6015625
1493,49737.3984375,49739.0,49722.44921875,49737.3984375,49718.0,49727.3984375,1490.0,1.6015625
1512,50201.1484375,50205.80078125,50199.05078125,50201.1484375,50181.1015625,50181.1015625,1511.0,4.65234375
1528,49962.6484375,49989.25,49947.6484375,49962.6484375,49934.3515625,49958.6015625,1527.0,26.6015625
1529,49962.6484375,49986.69921875,49947.6484375,49962.6484375,49934.3515625,49958.6015625,1527.0,24.05078125
1532,49938.0,49974.1484375,49917.19921875,49938.0,49902.1015625,49919.55078125,1531.0,36.1484375
1533,49938.0,49949.8984375,49917.19921875,49938.0,49902.1015625,49919.55078125,1531.0,11.8984375
1541,49917.1484375,49955.1015625,49880.8984375,49917.1484375,49875.8515625,49901.5,1540.0,37.953125
