Open,High,Low,Close,ser_no
49729.25,49733.1484375,49720.19921875,49720.75,1367
49721.80078125,49739.05078125,49720.5,49727.3984375,1368
49724.75,49732.3515625,49721.3984375,49722.6015625,1369
49723.1015625,49745.69921875,49721.69921875,49738.3515625,1374
49737.80078125,49740.1484375,49728.1484375,49735.19921875,1375
49738.3984375,49742.8984375,49731.6015625,49740.8515625,1377
49745.25,49745.25,49723.0,49725.30078125,1379
49730.6015625,49746.3515625,49730.6015625,49743.69921875,1381
49743.0,49745.5,49728.0,49744.30078125,1382
49740.3515625,49750.5,49729.25,49740.25,1383
49736.1484375,49751.30078125,49732.55078125,49749.6484375,1384
49754.8515625,49754.8515625,49744.75,49747.8984375,1385
49748.1484375,49757.3984375,49745.25,49750.25,1386
49747.1484375,49750.3515625,49741.05078125,49745.5,1387
49745.55078125,49751.19921875,49740.3984375,49748.80078125,1388
49742.30078125,49747.3515625,49733.8515625,49736.80078125,1390
49742.30078125,49744.80078125,49729.80078125,49743.05078125,1391
49744.0,49751.80078125,49734.1015625,49740.8984375,1392
49737.80078125,49746.0,49735.69921875,49739.55078125,1393
49739.69921875,49751.19921875,49739.05078125,49745.30078125,1394
49745.0,49745.1484375,49737.94921875,49744.55078125,1395
49744.94921875,49744.94921875,49736.30078125,49740.5,1396
49740.69921875,49743.69921875,49738.1484375,49741.19921875,1397
49737.25,49741.8984375,49727.30078125,49728.25,1399
49719.1484375,49727.30078125,49703.5,49708.19921875,1402
49708.94921875,49717.8984375,49706.19921875,49717.8984375,1403
49714.6484375,49718.05078125,49706.44921875,49712.6015625,1404
49714.30078125,49724.1484375,49707.44921875,49707.6015625,1405
49708.75,49713.55078125,49703.55078125,49708.5,1406
49712.8515625,49720.94921875,49704.8515625,49710.75,1407
49713.25,49720.05078125,49704.44921875,49710.30078125,1408
49711.69921875,49729.30078125,49711.05078125,49717.55078125,1409
49723.69921875,49733.1484375,49709.3984375,49711.8984375,1411
49720.1015625,49744.3515625,49719.25,49731.3984375,1413
49742.30078125,49800.3984375,49742.30078125,49768.25,1415
49753.55078125,49766.3984375,49747.05078125,49763.55078125,1419
49761.3984375,49769.19921875,49749.94921875,49753.69921875,1420
49755.6484375,49772.6484375,49754.55078125,49764.75,1421
49770.3984375,49777.5,49753.3515625,49756.30078125,1423
49730.80078125,49741.55078125,49721.05078125,49726.75,1427
49723.5,49740.80078125,49718.69921875,49724.05078125,1428
49733.05078125,49739.0,49719.94921875,49735.94921875,1430
49733.75,49740.05078125,49721.55078125,49734.5,1431
