Open,High,Low,Close,Adj Close,Volume,Date,ser_no
52215.05078125,52383.69921875,52170.6015625,52275.69921875,52275.69921875,0,2024-07-18 09:15:00,0
52274.8515625,52422.3984375,52258.0,52402.69921875,52402.69921875,0,2024-07-18 09:30:00,1
52408.69921875,52609.30078125,52403.94921875,52530.69921875,52530.69921875,0,2024-07-18 09:45:00,2
52529.1484375,52666.8515625,52528.75,52608.0,52608.0,0,2024-07-18 10:00:00,3
52602.3984375,52631.05078125,52543.44921875,52560.1484375,52560.1484375,0,2024-07-18 10:15:00,4
52557.0,52580.80078125,52467.0,52513.8515625,52513.8515625,0,2024-07-18 10:30:00,5
52519.6015625,52539.6015625,52367.55078125,52367.55078125,52367.55078125,0,2024-07-18 10:45:00,6
52361.30078125,52437.1484375,52267.6484375,52272.94921875,52272.94921875,0,2024-07-18 11:00:00,7
52273.6015625,52316.05078125,52226.6015625,52291.69921875,52291.69921875,0,2024-07-18 11:15:00,8
52289.30078125,52314.80078125,52185.69921875,52239.75,52239.75,0,2024-07-18 11:30:00,9
52238.05078125,52281.3515625,52204.3515625,52281.3515625,52281.3515625,0,2024-07-18 11:45:00,10
52279.8984375,52436.3515625,52263.30078125,52427.8515625,52427.8515625,0,2024-07-18 12:00:00,11
52424.05078125,52489.1484375,52362.1484375,52362.8515625,52362.8515625,0,2024-07-18 12:15:00,12
52362.25,52442.5,52359.8984375,52433.1015625,52433.1015625,0,2024-07-18 12:30:00,13
52436.05078125,52440.44921875,52381.69921875,52387.1015625,52387.1015625,0,2024-07-18 12:45:00,14
52386.25,52583.3984375,52352.69921875,52557.80078125,52557.80078125,0,2024-07-18 13:00:00,15
52562.25,52599.1015625,52505.94921875,52590.8984375,52590.8984375,0,2024-07-18 13:15:00,16
52591.25,52623.30078125,52525.80078125,52546.8515625,52546.8515625,0,2024-07-18 13:30:00,17
52548.6015625,52637.3515625,52534.55078125,52604.3515625,52604.3515625,0,2024-07-18 13:45:00,18
52602.55078125,52752.19921875,52598.55078125,52734.6015625,52734.6015625,0,2024-07-18 14:00:00,19
